iter	Passed	Remaining
0	50	20168
1	51	10326
2	56	7476
3	56	5627
4	58	4608
5	59	3883
6	95	5386
7	236	11605
8	245	10649
9	259	10114
10	309	10945
11	405	13098
12	511	15223
13	610	16825
14	715	18357
15	813	19514
16	919	20720
17	1022	21706
18	1052	21105
19	1111	21123
20	1220	22019
21	1315	22607
22	1420	23275
23	1525	23896
24	1626	24391
25	1725	24825
26	1829	25277
27	1930	25649
28	2030	25977
29	2142	26429
30	2143	25519
31	2146	24684
32	2154	23964
33	2155	23205
34	2261	23583
35	2291	23169
36	2394	23489
37	2397	22835
38	2492	23073
39	2544	22903
40	2597	22741
41	2706	23069
42	2707	22476
43	2806	22705
44	2905	22922
45	2908	22383
46	2908	21847
47	2935	21529
48	3049	21842
49	3050	21352
50	3079	21073
51	3080	20615
52	3130	20495
53	3132	20072
54	3137	19681
55	3245	19933
56	3278	19730
57	3282	19353
58	3395	19626
59	3496	19812
60	3592	19967
61	3704	20193
62	3807	20368
63	3913	20545
64	3916	20183
65	4026	20374
66	4080	20281
67	4085	19945
68	4087	19609
69	4116	19405
70	4221	19561
71	4222	19234
72	4341	19449
73	4397	19371
74	4398	19060
75	4399	18755
76	4507	18907
77	4557	18815
78	4654	18913
79	4705	18821
80	4819	18981
81	4821	18697
82	4835	18469
83	4895	18414
84	4994	18508
85	4996	18241
86	4997	17979
87	5096	18069
88	5223	18253
89	5333	18369
90	5384	18283
91	5477	18336
92	5579	18419
93	5624	18310
94	5722	18371
95	5815	18416
96	5821	18184
97	5821	17941
98	5823	17706
99	5917	17753
100	6011	17796
101	6021	17592
102	6022	17367
103	6023	17143
104	6047	16991
105	6144	17043
106	6198	16973
107	6298	17028
108	6313	16854
109	6316	16652
110	6414	16700
111	6415	16496
112	6421	16309
113	6517	16349
114	6538	16205
115	6648	16278
116	6755	16340
117	6761	16159
118	6863	16206
119	6865	16020
120	6879	15861
121	6970	15882
122	6973	15705
123	7064	15724
124	7168	15770
125	7286	15844
126	7395	15897
127	7407	15741
128	7512	15781
129	7619	15825
130	7623	15654
131	7717	15669
132	7814	15688
133	7918	15719
134	7920	15547
135	7977	15485
136	8075	15502
137	8172	15516
138	8282	15551
139	8286	15389
140	8287	15223
141	8391	15245
142	8494	15266
143	8496	15104
144	8589	15105
145	8683	15106
146	8791	15131
147	8901	15156
148	9007	15174
149	9104	15173
150	9131	15058
151	9184	14985
152	9212	14872
153	9317	14884
154	9319	14730
155	9414	14725
156	9509	14718
157	9618	14732
158	9619	14581
159	9622	14433
160	9724	14435
161	9730	14295
162	9780	14220
163	9872	14207
164	9975	14206
165	10077	14205
166	10187	14213
167	10288	14207
168	10399	14215
169	10518	14231
170	10519	14087
171	10547	13982
172	10641	13963
173	10739	13949
174	10741	13810
175	10844	13802
176	10860	13682
177	10874	13562
178	10981	13558
179	11085	13548
180	11099	13429
181	11209	13426
182	11210	13293
183	11312	13279
184	11416	13268
185	11523	13258
186	11524	13127
187	11554	13029
188	11660	13017
189	11686	12917
190	11784	12895
191	11895	12887
192	11995	12865
193	12103	12852
194	12215	12841
195	12319	12822
196	12436	12815
197	12463	12715
198	12464	12590
199	12489	12489
200	12588	12463
201	12695	12443
202	12696	12321
203	12813	12311
204	12815	12190
205	12913	12161
206	12920	12046
207	12920	11926
208	13027	11905
209	13030	11789
210	13139	11769
211	13148	11660
212	13203	11591
213	13231	11500
214	13336	11476
215	13396	11411
216	13451	11343
217	13549	11311
218	13652	11283
219	13656	11173
220	13657	11061
221	13752	11026
222	13860	11001
223	13865	10894
224	13978	10872
225	13980	10763
226	14090	10738
227	14114	10647
228	14210	10611
229	14330	10592
230	14337	10489
231	14366	10403
232	14478	10376
233	14586	10347
234	14696	10318
235	14704	10218
236	14814	10188
237	14920	10156
238	15027	10123
239	15134	10089
240	15241	10055
241	15267	9968
242	15369	9930
243	15476	9894
244	15500	9806
245	15506	9707
246	15597	9661
247	15624	9576
248	15625	9475
249	15719	9431
250	15810	9385
251	15819	9290
252	15911	9244
253	15918	9149
254	16008	9102
255	16110	9062
256	16112	8965
257	16135	8881
258	16231	8836
259	16329	8792
260	16355	8710
261	16451	8665
262	16540	8616
263	16542	8522
264	16640	8477
265	16742	8434
266	16750	8343
267	16846	8297
268	16935	8247
269	17033	8201
270	17139	8158
271	17242	8113
272	17347	8070
273	17401	8001
274	17511	7959
275	17617	7914
276	17722	7869
277	17833	7826
278	17939	7780
279	18045	7733
280	18141	7682
281	18248	7635
282	18352	7587
283	18448	7535
284	18542	7482
285	18643	7431
286	18741	7379
287	18847	7329
288	18947	7277
289	19047	7224
290	19142	7170
291	19247	7119
292	19264	7035
293	19267	6946
294	19377	6896
295	19485	6846
296	19509	6766
297	19616	6714
298	19618	6626
299	19627	6542
300	19728	6488
